model,MAPE,RMSE,MASE,MAE,n_folds,n_points
naive,0.06123188986285905,2660.144629285774,0.6595967896908083,1999.5016025641025,52,1248
snaive,0.09275773699644017,3843.577486747811,1.0,3031.39983974359,52,1248
sarima,0.06940122043403528,3356.4014188194546,0.7885114350267315,2390.293437776022,52,1248
prophet,0.08818380283584792,3685.0318691926605,0.9439325655221165,2861.4370278524993,52,1248
lgbm,0.030234708039850355,1413.4798467425105,0.3336943205283589,1011.5609097730133,52,1248
lstm,0.030030116301077214,1305.4546401498008,0.3248729004391668,984.8196583283253,52,1248
